episode_id,window_id,outcome,side,source_tf,direction,regime_at_event,structure_trend_at_event,consumer,penetration_pips,atr_at_event,penetration_per_atr,age_seconds,age_valid,timestamp
Daily-Low_2026.03.06__ep2,w2,INVALIDATED_NO_BREAK,Daily-Low,PERIOD_H1,BUY,WEAK_TREND,UP,DETECTOR,132.4,39.71786,0.03333512933476275,266400.0,True,2026-03-09 02:00:00
Daily-Low_2026.03.06__ep5,w2,INVALIDATED_NO_BREAK,Daily-Low,PERIOD_H1,BUY,WEAK_TREND,DOWN,DETECTOR,73.1,44.81,0.016313322918991294,273600.0,True,2026-03-09 04:00:00
Daily-Low_2026.03.06__ep8,w2,INVALIDATED_NO_BREAK,Daily-Low,PERIOD_H1,BUY,WEAK_TREND,UP,DETECTOR,317.7,46.475,0.0683593329747176,277200.0,True,2026-03-09 05:00:00
Daily-Low_2026.03.06__ep9,w2,INVALIDATED_NO_BREAK,Daily-Low,PERIOD_H4,BUY,WEAK_TREND,DOWN,DETECTOR,614.5,69.09786,0.08893184246227019,288000.0,True,2026-03-09 08:00:00
Equal-High_2026.03.09 07:00__ep1,w2,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M30,SELL,RANGING,DOWN,DETECTOR,67.9,33.605,0.020205326588305313,,False,2026-03-09 07:30:00
Equal-High_2026.03.09 08:30__ep1,w2,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M30,SELL,RANGING,UP,DETECTOR,44.6,28.82643,0.015471912408161538,,False,2026-03-09 09:00:00
Equal-High_2026.03.09 09:30__ep1,w2,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M30,SELL,RANGING,UP,DETECTOR,31.4,25.49214,0.012317522185269656,,False,2026-03-09 10:00:00
Equal-Low_2026.03.09 12:45__ep1,w2,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_M15,BUY,RANGING,UP,DETECTOR,2.2,13.61,0.0016164584864070538,,False,2026-03-09 13:00:00
Equal-High_2026.03.09 14:30__ep1,w2,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M30,SELL,RANGING,DOWN,DETECTOR,72.7,20.33071,0.035758711820689,,False,2026-03-09 15:00:00
Equal-High_2026.03.09 15:30__ep1,w2,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M30,SELL,RANGING,DOWN,DETECTOR,281.1,21.10857,0.13316866088039125,,False,2026-03-09 16:00:00
Equal-High_2026.03.09 16:30__ep1,w2,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M30,SELL,RANGING,DOWN,DETECTOR,84.5,23.31214,0.03624720853598168,,False,2026-03-09 17:00:00
Equal-High_2026.03.09 17:30__ep1,w2,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M30,SELL,RANGING,DOWN,DETECTOR,26.3,22.97214,0.011448650408712468,,False,2026-03-09 18:00:00
Asia-High_2026.03.10__ep1,w2,INVALIDATED_NO_BREAK,Asia-High,PERIOD_H1,SELL,RANGING,UP,DETECTOR,37.3,27.15786,0.013734513691432242,0.0,True,2026-03-10 00:00:00
Asia-High_2026.03.10__ep8,w2,INVALIDATED_NO_BREAK,Asia-High,PERIOD_H1,SELL,RANGING,UP,DETECTOR,45.5,21.60286,0.021062026046551243,43200.0,True,2026-03-10 12:00:00
Asia-Low_2026.03.11__ep5,w2,INVALIDATED_NO_BREAK,Asia-Low,PERIOD_H1,BUY,WEAK_TREND,DOWN,DETECTOR,14.4,17.75071,0.008112351562275537,46800.0,True,2026-03-11 13:00:00
Equal-Low_2026.03.11 02:10__ep1,w2,TRUE_BREAK_OBSERVED,Equal-Low,PERIOD_M5,BUY,RANGING,UP,DETECTOR,47.9,4.61929,0.10369558958194873,,False,2026-03-11 02:15:00
Equal-High_2026.03.11 09:00__ep1,w2,INVALIDATED_NO_BREAK,Equal-High,PERIOD_H1,SELL,RANGING,DOWN,DETECTOR,32.7,21.21714,0.01541206779047506,,False,2026-03-11 10:00:00
Equal-Low_2026.03.11 15:00__ep2,w2,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_H1,BUY,STRONG_TREND,DOWN,DETECTOR,203.9,21.37214,0.09540457810963245,,False,2026-03-11 16:00:00
Equal-Low_2026.03.11 19:00__ep2,w2,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_H1,BUY,STRONG_TREND,DOWN,DETECTOR,133.0,20.59714,0.06457207165655038,,False,2026-03-11 20:00:00
Daily-Low_2026.03.11__ep1,w2,INVALIDATED_NO_BREAK,Daily-Low,PERIOD_M15,BUY,WEAK_TREND,UP,DETECTOR,26.1,10.455,0.02496413199426112,90900.0,True,2026-03-12 01:15:00
Daily-Low_2026.03.11__ep3,w2,INVALIDATED_NO_BREAK,Daily-Low,PERIOD_M30,BUY,WEAK_TREND,UP,DETECTOR,34.1,15.87357,0.02148225005465059,95400.0,True,2026-03-12 02:30:00
Daily-Low_2026.03.11__ep10,w2,INVALIDATED_NO_BREAK,Daily-Low,PERIOD_H1,BUY,STRONG_TREND,DOWN,DETECTOR,39.4,23.06929,0.017078982491442088,108000.0,True,2026-03-12 06:00:00
Daily-Low_2026.03.11__ep16,w2,INVALIDATED_NO_BREAK,Daily-Low,PERIOD_H1,BUY,WEAK_TREND,UP,DETECTOR,19.5,20.75143,0.00939694276490825,144000.0,True,2026-03-12 16:00:00
Equal-Low_2026.03.12 03:00__ep1,w2,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_H1,BUY,STRONG_TREND,DOWN,DETECTOR,137.5,23.815,0.057736720554272515,,False,2026-03-12 04:00:00
Asia-High_2026.03.12__ep1,w2,INVALIDATED_NO_BREAK,Asia-High,PERIOD_D1,SELL,STRONG_TREND,UP,DETECTOR,469.6,143.31286,0.03276747111180393,0.0,True,2026-03-12 00:00:00
Asia-High_2026.03.12__ep6,w2,INVALIDATED_NO_BREAK,Asia-High,PERIOD_H1,SELL,WEAK_TREND,UP,DETECTOR,37.0,19.66786,0.018812417822782954,54000.0,True,2026-03-12 15:00:00
Equal-High_2026.03.12 09:45__ep1,w2,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M15,SELL,WEAK_TREND,DOWN,DETECTOR,15.6,8.58857,0.018163675675927422,,False,2026-03-12 10:00:00
Equal-High_2026.03.13 01:25__ep1,w2,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M5,SELL,RANGING,UP,DETECTOR,27.5,4.88,0.05635245901639345,,False,2026-03-13 01:30:00
Asia-Low_2026.03.13__ep1,w2,INVALIDATED_NO_BREAK,Asia-Low,PERIOD_H1,BUY,STRONG_TREND,UP,DETECTOR,6.7,22.79143,0.002939701457960295,7200.0,True,2026-03-13 02:00:00
Asia-Low_2026.03.13__ep5,w2,INVALIDATED_NO_BREAK,Asia-Low,PERIOD_M15,BUY,STRONG_TREND,DOWN,DETECTOR,44.1,11.63929,0.0378889090313928,38700.0,True,2026-03-13 10:45:00
Equal-Low_2026.03.13 05:15__ep1,w2,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_M15,BUY,STRONG_TREND,DOWN,DETECTOR,15.9,7.67357,0.020720473000181143,,False,2026-03-13 05:30:00
Equal-Low_2026.03.13 05:30__ep1,w2,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_M15,BUY,STRONG_TREND,DOWN,DETECTOR,17.7,7.31786,0.02418739904835567,,False,2026-03-13 05:45:00
Equal-High_2026.03.13 11:10__ep1,w2,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M5,SELL,STRONG_TREND,DOWN,DETECTOR,17.4,7.265,0.023950447350309705,,False,2026-03-13 11:15:00
Daily-Low_2026.03.12__ep1,w2,INVALIDATED_NO_BREAK,Daily-Low,PERIOD_M15,BUY,STRONG_TREND,UP,DETECTOR,140.8,16.58429,0.08489962488596137,148500.0,True,2026-03-13 17:15:00
Daily-Low_2026.03.12__ep3,w2,INVALIDATED_NO_BREAK,Daily-Low,PERIOD_M15,BUY,STRONG_TREND,UP,DETECTOR,18.8,19.68714,0.009549380966458307,155700.0,True,2026-03-13 19:15:00
Weekly-Low_2026.03.08__ep3,w2,INVALIDATED_NO_BREAK,Weekly-Low,PERIOD_H1,BUY,WEAK_TREND,DOWN,DETECTOR,153.2,27.78929,0.05512915227413151,694800.0,True,2026-03-16 01:00:00
