episode_id,window_id,true_break_event_id,sweep_event_id,timestamp,direction,side,tb_source_tf,tb_regime_at_event,tb_structure_trend_at_event,tb_atr_at_event,tb_penetration_pips,tb_penetration_per_atr,sweep_penetration_per_atr,sweep_source_tf,sweep_regime_at_event,sweep_structure_trend_at_event,regime_changed_sweep_to_break,direction_trend_aligned_at_break,regime_category_same_sweep_to_break,plus1r_before_minus1r,continuation_1atr_before_failure,retest_outcome,period
w0__SELL__seq1003,w0,2504,2503,2025-11-19 15:15:00,SELL,Equal-High,PERIOD_M15,STRONG_TREND,UP,7.57929,166.3,0.21941369178379508,0.06982464956206214,PERIOD_M5,RANGING,UP,True,False,False,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__SELL__seq1006,w0,2522,2512,2025-11-19 18:30:00,SELL,Equal-High,PERIOD_M30,WEAK_TREND,UP,15.74929,452.7,0.28744152911020115,0.027898280710650907,PERIOD_M30,WEAK_TREND,UP,False,False,True,MINUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__SELL__seq1023,w0,2549,2548,2025-11-20 04:30:00,SELL,Equal-High,PERIOD_M30,WEAK_TREND,UP,14.66,270.7,0.18465211459754433,0.0040202371078414244,PERIOD_H1,RANGING,UP,True,False,False,MINUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__BUY__seq1008,w0,2654,2652,2025-11-21 15:00:00,BUY,Daily-Low,PERIOD_H1,RANGING,DOWN,20.05429,269.9,0.13458466991351972,0.03878767515445586,PERIOD_M30,WEAK_TREND,DOWN,True,False,False,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__SELL__seq1061,w0,2680,2676,2025-11-21 22:30:00,SELL,Equal-High,PERIOD_M30,WEAK_TREND,UP,14.60714,191.2,0.13089489112858507,0.07800269905533062,PERIOD_M5,STRONG_TREND,DOWN,True,False,True,PLUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__BUY__seq1024,w0,2800,2796,2025-11-25 15:30:00,BUY,Asia-Low,PERIOD_M30,WEAK_TREND,DOWN,11.68857,192.1,0.1643485901183806,0.0901330074176036,PERIOD_M15,WEAK_TREND,DOWN,False,False,True,PLUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__SELL__seq1227,w0,2890,2887,2025-11-26 15:00:00,SELL,Daily-High,PERIOD_H1,WEAK_TREND,UP,12.82571,40.4,0.03149923084180135,0.016233377875443853,PERIOD_M15,WEAK_TREND,UP,False,False,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__BUY__seq1046,w0,2956,2953,2025-11-28 17:00:00,BUY,Asia-Low,PERIOD_H1,WEAK_TREND,UP,13.87,350.0,0.2523431867339582,0.09495907298094916,PERIOD_H4,WEAK_TREND,UP,False,True,True,MINUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__BUY__seq1049,w0,2959,2953,2025-11-28 17:30:00,BUY,Asia-Low,PERIOD_M5,STRONG_TREND,UP,6.41786,341.7,0.532420464142253,0.09495907298094916,PERIOD_H4,WEAK_TREND,UP,True,True,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__BUY__seq1056,w0,2960,2953,2025-11-28 19:15:00,BUY,Asia-Low,PERIOD_M5,STRONG_TREND,UP,4.68786,442.6,0.9441408233181026,0.09495907298094916,PERIOD_H4,WEAK_TREND,UP,True,True,True,PLUS_1R_FIRST,FAILURE_FIRST,AMBIGUOUS,DISCOVERY
w0__BUY__seq1120,w0,3156,3153,2025-12-04 12:00:00,BUY,Daily-Low,PERIOD_H1,WEAK_TREND,DOWN,11.71071,51.6,0.044062230214905844,0.036394849785407725,PERIOD_M15,WEAK_TREND,UP,False,False,True,PLUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__BUY__seq1179,w0,3355,3353,2025-12-10 19:00:00,BUY,Asia-Low,PERIOD_H1,RANGING,DOWN,9.66071,29.6,0.030639569969495,0.009417996364082616,PERIOD_M15,RANGING,DOWN,False,False,True,MINUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__SELL__seq1417,w0,3368,3364,2025-12-10 21:45:00,SELL,Asia-High,PERIOD_M15,RANGING,DOWN,9.315,311.1,0.3339774557165862,0.12241979994077071,PERIOD_M5,VOLATILE,DOWN,True,True,False,MINUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__BUY__seq1189,w0,3371,3370,2025-12-10 22:00:00,BUY,Asia-Low,PERIOD_M30,CHOPPY,UP,11.45786,147.3,0.1285580378884015,0.12955954153689458,PERIOD_H1,RANGING,DOWN,True,True,False,MINUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__BUY__seq1191,w0,3373,3370,2025-12-10 22:30:00,BUY,Asia-Low,PERIOD_M30,CHOPPY,UP,12.89286,308.4,0.23920216305769235,0.12955954153689458,PERIOD_H1,RANGING,DOWN,True,True,False,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__BUY__seq1198,w0,3397,3396,2025-12-11 16:15:00,BUY,Equal-Low,PERIOD_M15,RANGING,UP,6.37857,184.4,0.2890930098752542,0.07273867266892808,PERIOD_M15,RANGING,UP,False,True,True,PLUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
