timestamp,open,high,low,close,tick_volume,spread,real_volume
2025.04.11 08:00:00,3208.36,3227.29,3187.06,3215.87,65132,27,0
2025.04.11 12:00:00,3215.86,3237.69,3210.09,3233.45,54470,27,0
2025.04.11 16:00:00,3233.47,3245.23,3219.51,3223.16,73793,27,0
2025.04.11 20:00:00,3223.26,3238.97,3223.26,3237.64,36024,27,0
2025.04.14 00:00:00,3226.87,3228.70,3209.10,3220.83,19645,27,0
2025.04.14 04:00:00,3220.91,3245.53,3215.26,3227.29,39301,27,0
2025.04.14 08:00:00,3227.27,3238.02,3216.38,3226.88,35467,27,0
2025.04.14 12:00:00,3226.87,3231.64,3200.50,3206.71,40967,27,0
2025.04.14 16:00:00,3206.67,3215.64,3193.56,3207.40,55008,27,0
2025.04.14 20:00:00,3207.46,3216.34,3201.30,3210.34,22108,27,0
2025.04.15 00:00:00,3211.40,3215.11,3209.94,3211.80,9100,27,0
2025.04.15 04:00:00,3211.78,3232.55,3209.95,3231.75,25831,27,0
2025.04.15 08:00:00,3231.74,3232.04,3217.21,3227.48,30201,27,0
2025.04.15 12:00:00,3227.52,3229.97,3214.20,3221.39,26791,27,0
2025.04.15 16:00:00,3221.38,3226.84,3211.51,3221.37,40958,27,0
2025.04.15 20:00:00,3221.37,3233.54,3220.36,3229.26,19284,27,0
2025.04.16 00:00:00,3230.60,3267.87,3229.75,3264.37,21406,27,0
2025.04.16 04:00:00,3264.37,3287.41,3255.86,3283.62,38292,27,0
2025.04.16 08:00:00,3283.61,3317.66,3283.58,3306.88,44427,27,0
2025.04.16 12:00:00,3306.90,3313.52,3293.08,3307.22,34902,27,0
2025.04.16 16:00:00,3307.23,3332.87,3296.73,3327.19,54784,27,0
2025.04.16 20:00:00,3327.22,3343.01,3324.33,3342.90,30911,27,0
2025.04.17 00:00:00,3342.29,3357.45,3341.85,3345.24,18747,27,0
2025.04.17 04:00:00,3345.21,3356.11,3320.69,3341.35,43685,27,0
2025.04.17 08:00:00,3341.36,3345.29,3312.59,3324.10,36737,27,0
2025.04.17 12:00:00,3324.07,3342.08,3320.55,3328.09,32221,27,0
2025.04.17 16:00:00,3328.33,3332.00,3283.81,3316.04,69440,27,0
2025.04.17 20:00:00,3316.14,3328.57,3310.88,3326.21,29827,27,0
2025.04.21 00:00:00,3331.55,3370.45,3327.90,3368.63,24589,27,0
2025.04.21 04:00:00,3368.64,3385.13,3367.13,3376.19,35547,27,0
2025.04.21 08:00:00,3376.19,3395.87,3375.56,3392.61,37022,27,0
2025.04.21 12:00:00,3392.65,3415.65,3386.36,3414.82,43891,27,0
2025.04.21 16:00:00,3414.82,3430.14,3405.10,3414.47,65728,27,0
2025.04.21 20:00:00,3414.49,3430.45,3405.97,3424.19,33947,27,0
2025.04.22 00:00:00,3423.79,3444.23,3411.80,3425.28,26409,27,0
2025.04.22 04:00:00,3425.30,3494.66,3421.52,3484.01,50494,27,0
2025.04.22 08:00:00,3484.25,3499.90,3443.11,3443.93,63071,27,0
2025.04.22 12:00:00,3443.93,3468.20,3424.17,3431.42,45071,27,0
2025.04.22 16:00:00,3431.22,3449.43,3371.96,3393.10,76343,27,0
2025.04.22 20:00:00,3393.13,3410.24,3366.68,3380.90,42867,27,0
2025.04.23 00:00:00,3350.30,3370.81,3312.61,3367.77,32976,27,0
2025.04.23 04:00:00,3367.75,3386.40,3328.88,3346.51,51343,27,0
2025.04.23 08:00:00,3346.42,3349.22,3291.56,3321.40,49440,27,0
2025.04.23 12:00:00,3321.45,3340.49,3310.50,3310.65,39777,27,0
2025.04.23 16:00:00,3310.64,3313.62,3260.04,3294.98,76536,27,0
2025.04.23 20:00:00,3294.97,3301.41,3277.72,3288.19,30127,27,0
2025.04.24 00:00:00,3288.11,3338.92,3287.86,3331.63,20510,27,0
2025.04.24 04:00:00,3331.55,3367.24,3320.55,3326.03,47316,27,0
2025.04.24 08:00:00,3326.08,3341.58,3314.66,3336.00,38050,27,0
2025.04.24 12:00:00,3336.06,3344.62,3325.44,3335.79,32329,27,0
2025.04.24 16:00:00,3335.77,3336.14,3306.57,3331.43,56965,27,0
2025.04.24 20:00:00,3331.50,3349.78,3329.85,3348.50,22034,27,0
2025.04.25 00:00:00,3351.22,3370.76,3346.79,3357.57,20698,27,0
2025.04.25 04:00:00,3357.35,3363.00,3316.26,3324.69,35809,27,0
2025.04.25 08:00:00,3324.70,3327.00,3286.55,3303.64,45415,27,0
2025.04.25 12:00:00,3303.79,3308.68,3287.90,3292.60,31507,27,0
2025.04.25 16:00:00,3292.56,3292.67,3265.06,3285.42,51340,27,0
2025.04.25 20:00:00,3285.44,3319.02,3281.87,3318.87,24056,27,0
2025.04.28 00:00:00,3324.94,3336.53,3298.55,3313.94,21446,27,0
2025.04.28 04:00:00,3313.90,3315.11,3267.85,3298.77,35039,27,0
2025.04.28 08:00:00,3298.89,3300.85,3277.49,3282.48,27136,27,0
