episode_id,timestamp,outcome,source_tf,direction,penetration_per_atr,age_seconds
Equal-Low_2025.09.29 20:40__ep1,2025-09-29 20:45:00,INVALIDATED_NO_BREAK,PERIOD_M5,BUY,0.022730047017523184,
Equal-Low_2025.09.29 20:55__ep1,2025-09-29 21:00:00,INVALIDATED_NO_BREAK,PERIOD_M5,BUY,0.02895182495647311,
Equal-Low_2025.09.29 22:10__ep1,2025-09-29 22:15:00,INVALIDATED_NO_BREAK,PERIOD_M5,BUY,0.12485712413637455,
Equal-Low_2025.09.29 22:55__ep1,2025-09-29 23:00:00,TRUE_BREAK_OBSERVED,PERIOD_M5,BUY,0.029367303118711306,
Asia-Low_2025.09.30__ep1,2025-09-30 00:00:00,TRUE_BREAK_OBSERVED,PERIOD_D1,BUY,0.12493016029007349,0.0
Asia-Low_2025.09.30__ep2,2025-09-30 17:15:00,TRUE_BREAK_OBSERVED,PERIOD_M15,BUY,0.17951337750547028,62100.0
Asia-Low_2025.09.30__ep4,2025-09-30 18:00:00,TRUE_BREAK_OBSERVED,PERIOD_H1,BUY,0.1419679590834894,64800.0
Equal-High_2025.09.30 08:55__ep1,2025-09-30 09:00:00,TRUE_BREAK_OBSERVED,PERIOD_M5,SELL,0.008797395970792645,
Daily-High_2025.09.29__ep2,2025-09-30 12:00:00,TRUE_BREAK_OBSERVED,PERIOD_H1,SELL,0.1414030270021455,129600.0
Asia-Low_2025.10.01__ep1,2025-10-01 00:00:00,TRUE_BREAK_OBSERVED,PERIOD_D1,BUY,0.05769900113361791,0.0
Monthly-High_2025.09.01__ep1,2025-10-01 06:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,SELL,0.06459983430763654,2613600.0
Monthly-High_2025.09.01__ep3,2025-10-01 10:45:00,INVALIDATED_NO_BREAK,PERIOD_M15,SELL,0.05142184156543567,2630700.0
Monthly-High_2025.09.01__ep4,2025-10-01 16:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,SELL,0.010756754772456219,2649600.0
Monthly-High_2025.09.01__ep7,2025-10-01 17:15:00,INVALIDATED_NO_BREAK,PERIOD_M15,SELL,0.02184495031304226,2654100.0
Monthly-High_2025.09.01__ep9,2025-10-01 18:30:00,INVALIDATED_NO_BREAK,PERIOD_M30,SELL,0.11648262795563866,2658600.0
Monthly-High_2025.09.01__ep11,2025-10-01 20:00:00,INVALIDATED_NO_BREAK,PERIOD_H4,SELL,0.003185932082444682,2664000.0
Monthly-High_2025.09.01__ep14,2025-10-02 00:00:00,INVALIDATED_NO_BREAK,PERIOD_D1,SELL,0.011652973321301371,2678400.0
Monthly-High_2025.09.01__ep19,2025-10-02 17:30:00,TRUE_BREAK_OBSERVED,PERIOD_M30,SELL,0.08544241775616758,2741400.0
Monthly-High_2025.09.01__ep20,2025-10-02 18:00:00,TRUE_BREAK_OBSERVED,PERIOD_H1,SELL,0.23978566342825977,2743200.0
Monthly-High_2025.09.01__ep21,2025-10-02 20:00:00,INVALIDATED_NO_BREAK,PERIOD_H4,SELL,0.09928057553956836,2750400.0
Monthly-High_2025.09.01__ep22,2025-10-03 00:00:00,INVALIDATED_NO_BREAK,PERIOD_D1,SELL,0.02695534915302619,2764800.0
Monthly-High_2025.09.01__ep23,2025-10-03 17:15:00,INVALIDATED_NO_BREAK,PERIOD_M15,SELL,0.0590706649092927,2826900.0
Equal-High_2025.10.01 07:15__ep1,2025-10-01 07:30:00,INVALIDATED_NO_BREAK,PERIOD_M15,SELL,0.007494019575167974,
Equal-High_2025.10.01 07:30__ep1,2025-10-01 07:45:00,INVALIDATED_NO_BREAK,PERIOD_M15,SELL,0.049676119585401524,
Equal-High_2025.10.01 08:10__ep1,2025-10-01 08:15:00,INVALIDATED_NO_BREAK,PERIOD_M5,SELL,0.022363105844934932,
Equal-High_2025.10.01 09:00__ep1,2025-10-01 09:15:00,INVALIDATED_NO_BREAK,PERIOD_M15,SELL,0.051943786129099404,
Equal-High_2025.10.01 09:40__ep1,2025-10-01 09:45:00,INVALIDATED_NO_BREAK,PERIOD_M5,SELL,0.027863907491827124,
Asia-High_2025.10.01__ep1,2025-10-01 15:45:00,INVALIDATED_NO_BREAK,PERIOD_M15,SELL,0.0035256017446692062,56700.0
Asia-High_2025.10.01__ep4,2025-10-01 17:30:00,INVALIDATED_NO_BREAK,PERIOD_M30,SELL,0.0026154539852718556,63000.0
Daily-Low_2025.10.01__ep3,2025-10-02 05:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,BUY,0.08930138719931686,104400.0
