time,open,high,low,close,tick_volume
2026.03.19 00:00,4824.26,4866.9,4804.1,4849.8,62729
2026.03.19 04:00,4849.78,4865.86,4826.83,4827.33,50087
2026.03.19 08:00,4827.32,4841.93,4686.63,4698.77,100208
2026.03.19 12:00,4698.78,4719.57,4502.46,4620.73,110316
2026.03.19 16:00,4620.75,4649.06,4566.16,4615.95,118196
2026.03.19 20:00,4615.96,4663.24,4596.14,4650.19,62929
2026.03.20 00:00,4650.89,4699.21,4633.97,4677.23,63954
2026.03.20 04:00,4677.15,4735.57,4670.17,4688.22,61336
2026.03.20 08:00,4688.24,4734.68,4659.8,4667.48,77696
2026.03.20 12:00,4667.49,4695.35,4612.64,4616.25,98640
2026.03.20 16:00,4616.23,4622.29,4540.43,4573.27,121371
2026.03.20 20:00,4573.34,4578.26,4477.13,4497.39,71220
2026.03.23 00:00,4448.11,4535.46,4319.51,4387.42,100179
2026.03.23 04:00,4388.01,4421.86,4302.34,4310.07,98863
2026.03.23 08:00,4309.91,4310.08,4098.6,4253.44,128071
2026.03.23 12:00,4253.78,4492.26,4240.85,4453.94,126354
2026.03.23 16:00,4453.88,4512.73,4351.04,4426.07,132059
2026.03.23 20:00,4426.04,4466.81,4382.74,4406.65,64567
2026.03.24 00:00,4413.78,4448.15,4308.04,4321.94,95749
2026.03.24 04:00,4321.95,4379.09,4305.8,4347.18,103499
2026.03.24 08:00,4347.09,4432.41,4342.71,4426.16,104436
2026.03.24 12:00,4426.2,4441.89,4351.26,4381.32,107795
2026.03.24 16:00,4381.3,4433.52,4372.11,4388.34,104206
2026.03.24 20:00,4388.41,4484.09,4383.86,4474.3,60706
2026.03.25 00:00,4471.88,4600.92,4455.77,4594.82,64097
2026.03.25 04:00,4594.87,4602.2,4549.37,4555.55,50666
2026.03.25 08:00,4555.51,4567.64,4527.67,4551.65,53250
2026.03.25 12:00,4551.64,4585.81,4521.61,4544.64,69170
2026.03.25 16:00,4544.74,4579.05,4524.88,4550.58,78626
2026.03.25 20:00,4550.51,4568.72,4486.99,4506.31,41701
2026.03.26 00:00,4510.74,4543.86,4488.88,4535.2,42999
2026.03.26 04:00,4535.29,4535.58,4438.5,4438.71,42025
2026.03.26 08:00,4438.76,4463.6,4412.32,4423.61,73845
2026.03.26 12:00,4423.6,4460.43,4416.42,4452.46,69957
2026.03.26 16:00,4452.5,4479.18,4366.67,4381.43,88895
2026.03.26 20:00,4381.35,4420.55,4350.91,4377.98,48098
2026.03.27 00:00,4378.21,4420.47,4375.15,4417.03,42563
2026.03.27 04:00,4417.08,4475.23,4416.77,4454.28,37997
2026.03.27 08:00,4454.22,4472.76,4420.67,4428.79,47492
2026.03.27 12:00,4428.78,4445.02,4404.23,4431.32,54783
2026.03.27 16:00,4430.95,4555.22,4430.33,4486.31,88543
2026.03.27 20:00,4486.5,4528.52,4486.39,4495.1,42705
2026.03.30 00:00,4492.98,4513.76,4419.53,4432.09,58159
2026.03.30 04:00,4432.05,4517.23,4431.6,4496.57,85856
2026.03.30 08:00,4496.6,4550.5,4496.6,4538.1,83755
2026.03.30 12:00,4538.16,4580.53,4523.47,4569.29,80037
2026.03.30 16:00,4569.31,4578.62,4512.35,4539.61,116271
2026.03.30 20:00,4539.48,4542.09,4492.84,4510.86,89280
2026.03.31 00:00,4513.91,4548.11,4482.57,4547.62,41721
2026.03.31 04:00,4547.22,4619.29,4531.78,4564.53,67958
2026.03.31 08:00,4564.27,4581.51,4543.56,4568.37,66719
2026.03.31 12:00,4568.39,4597.43,4529.31,4574.62,95506
2026.03.31 16:00,4574.64,4651.52,4567.61,4638.05,110330
2026.03.31 20:00,4638.04,4686.93,4636.23,4667.1,87704
2026.04.01 00:00,4671.3,4722.36,4661.52,4710.69,48119
2026.04.01 04:00,4710.69,4724.07,4666.93,4676.21,65875
2026.04.01 08:00,4676.22,4747.63,4674.7,4728.46,78183
2026.04.01 12:00,4728.48,4762.85,4712.98,4724.51,69440
