time,open,high,low,close,sar,ema9,ema21,atr14
2026.06.04 00:00,4438.44,4465.26,4423.83,4448.22,4510.228264203713,4460.486588515908,4477.776775006362,30.452857142857187
2026.06.04 04:00,4448.25,4483.89,4442.91,4480.86,4499.860472499267,4464.561270812726,4478.0570681876015,31.662857142857224
2026.06.04 08:00,4480.87,4482.23,4458.36,4463.16,4490.736815799355,4464.281016650181,4476.702789261456,31.90857142857148
2026.06.04 12:00,4463.18,4514.5,4460.8,4503.95,4423.83,4472.214813320145,4479.179808419505,31.80071428571432
2026.06.04 16:00,4503.88,4515.2,4457.14,4482.59,4425.6434,4474.289850656117,4479.4898258359135,34.07214285714284
2026.06.04 20:00,4482.54,4483.22,4472.63,4475.17,4429.225664,4474.465880524894,4479.097114396285,33.23428571428573
2026.06.05 00:00,4475.46,4481.39,4450.47,4459.08,4432.66463744,4471.3887044199155,4477.277376723895,32.700714285714284
2026.06.05 04:00,4459.13,4469.87,4435.07,4444.83,4515.2,4466.076963535933,4474.3276152035405,34.16642857142853
2026.06.05 08:00,4444.79,4468.04,4428.5,4462.58,4513.5974,4465.377570828747,4473.259650185037,34.52071428571425
2026.06.05 12:00,4462.48,4475.7,4404.64,4405.93,4510.193504,4453.488056662997,4467.138772895488,37.82571428571421
2026.06.05 16:00,4406.32,4420.89,4323.34,4344.45,4503.86029376,4431.6804453303985,4455.985248086807,42.36499999999994
2026.06.05 20:00,4344.51,4347.17,4311.58,4328.58,4489.4186702592,4411.060356264319,4444.402952806188,42.832142857142856
2026.06.08 00:00,4325.16,4353.16,4308.96,4342.03,4471.63480323328,4397.254285011456,4435.096320732898,43.157142857142865
2026.06.08 04:00,4342.18,4345.76,4299.91,4312.48,4452.113826845286,4380.299428009165,4423.949382484452,44.86714285714284
2026.06.08 08:00,4312.45,4316.69,4268.45,4288.61,4430.8052910869455,4361.961542407333,4411.645802258593,45.35357142857137
2026.06.08 12:00,4288.61,4339.25,4272.82,4332.96,4404.828444513034,4356.161233925866,4404.492547507812,47.1714285714285
2026.06.08 16:00,4332.79,4346.45,4314.67,4340.53,4383.007893390948,4353.034987140693,4398.677770461647,47.73642857142849
2026.06.08 20:00,4340.54,4345.73,4323.13,4329.76,4364.678630448397,4348.379989712555,4392.412518601497,45.514999999999894
2026.06.09 00:00,4332.66,4333.04,4312.63,4319.59,4349.282049576653,4342.621991770044,4385.792289637724,42.825714285714206
2026.06.09 04:00,4319.59,4342.04,4318.45,4332.14,4345.73,4340.525593416035,4380.914808761567,43.754285714285636
2026.06.09 08:00,4332.16,4351.33,4321.06,4326.41,4268.45,4337.702474732828,4375.959826146879,43.70785714285702
2026.06.09 12:00,4326.47,4343.98,4324.05,4341.21,4270.1076,4338.403979786262,4372.800751042617,42.64571428571411
2026.06.09 16:00,4341.39,4363.18,4236.51,4251.87,4351.33,4321.09718382901,4361.807046402379,48.869285714285546
2026.06.09 20:00,4252.15,4274.08,4249.76,4259.26,4363.18,4308.729747063208,4352.484587638526,45.53071428571413
2026.06.10 00:00,4254.02,4257.5,4198.85,4217.96,4363.18,4290.5757976505665,4340.255079671387,42.87785714285697
2026.06.10 04:00,4217.97,4218.72,4172.31,4174.68,4356.6068000000005,4267.396638120454,4325.202799701261,43.65071428571409
2026.06.10 08:00,4174.73,4221.89,4161.25,4168.79,4345.548992000001,4247.675310496363,4310.983454273874,44.82499999999984
2026.06.10 12:00,4168.84,4179.32,4130.5,4146.77,4330.805072640001,4227.494248397091,4296.054958430794,45.03714285714265
2026.06.10 16:00,4146.85,4186.07,4106.72,4121.88,4310.774565376,4206.3713987176725,4280.220871300721,47.25928571428548
2026.06.10 20:00,4121.87,4134.82,4067.02,4071.08,4286.28801753088,4179.313118974138,4261.208064818838,47.357142857142584
2026.06.11 00:00,4071.49,4077.88,4023.73,4075.61,4255.590495076557,4158.572495179311,4244.33551347167,48.95499999999975
2026.06.11 04:00,4075.63,4117.84,4052.32,4082.45,4218.492815864308,4143.347996143449,4229.618648610609,52.02071428571407
2026.06.11 08:00,4082.53,4112.39,4072.44,4084.34,4187.330765326019,4131.5463969147595,4216.411498736917,53.41642857142838
2026.06.11 12:00,4084.37,4096.24,4057.41,4081.67,4161.154642873856,4121.571117531807,4204.162271579015,54.5049999999998
2026.06.11 16:00,4081.87,4107.46,4052.7,4080.07,4139.166700014039,4113.270894025446,4192.881155980923,56.25428571428556
2026.06.11 20:00,4080.03,4219.99,4071.81,4210.52,4023.73,4132.720715220357,4194.484687255384,65.41499999999988
2026.06.12 00:00,4214.47,4246.13,4200.53,4208.06,4027.6552,4147.788572176286,4195.718806595804,59.62428571428561
2026.06.12 04:00,4208.11,4210.84,4171.18,4189.78,4036.394192,4156.186857741029,4195.1789150870945,60.71999999999991
2026.06.12 08:00,4189.77,4225.77,4170.02,4219.49,4044.7836243200004,4168.847486192823,4197.38901371554,60.38714285714278
2026.06.12 12:00,4219.52,4227.84,4188.36,4191.56,4052.8374793472003,4173.389988954259,4196.859103377764,59.89214285714282
2026.06.12 16:00,4191.55,4235.36,4176.96,4215.86,4060.5691801733124,4181.883991163407,4198.586457616148,59.732142857142776
2026.06.12 20:00,4215.85,4235.27,4201.64,4218.74,4067.9916129663798,4189.255192930726,4200.418597832862,58.6471428571428
2026.06.15 00:00,4273.27,4308.81,4261.75,4292.41,4075.1171484477245,4209.886154344581,4208.781452575329,59.41285714285717
2026.06.15 04:00,4292.42,4335.24,4285.33,4328.09,4089.138719540861,4233.526923475665,4219.62768415939,58.13500000000003
2026.06.15 08:00,4328.08,4345.27,4300.71,4334.04,4108.826821977592,4253.629538780532,4230.028803781263,57.45000000000005
2026.06.15 12:00,4334.06,4349.21,4324.37,4348.84,4132.471139779833,4272.6716310244265,4240.82982161933,54.54428571428578
2026.06.15 16:00,4348.87,4369.14,4334.42,4339.09,4158.479803006253,4285.955304819541,4249.762565108482,54.17071428571435
2026.06.15 20:00,4339.03,4339.03,4306.25,4308.92,4187.9722305853775,4290.548243855633,4255.140513734983,53.74285714285722
2026.06.16 00:00,4308.88,4320.56,4305.82,4319.02,4213.335718303425,4296.242595084506,4260.947739759075,50.884285714285824
2026.06.16 04:00,4319.05,4332.95,4307.42,4322.29,4235.1483177409455,4301.452076067605,4266.524308871886,42.12357142857153
2026.06.16 08:00,4322.28,4347.79,4313.33,4346.78,4253.907153257213,4310.517660854084,4273.820280792624,41.32785714285722
2026.06.16 12:00,4346.81,4354.88,4334.95,4354.51,4270.039751801203,4319.316128683267,4281.155709811476,39.91857142857154
2026.06.16 16:00,4354.48,4354.7,4313.11,4340.43,4283.913786549035,4323.538902946614,4286.544281646797,38.90714285714298
2026.06.16 20:00,4340.39,4342.73,4325.09,4330.97,4295.84545643217,4325.025122357291,4290.58298331527,37.347142857142906
2026.06.17 00:00,4332.54,4341.4,4328.37,4336.89,4306.106692531666,4327.3980978858335,4294.7927121047915,34.10642857142863
2026.06.17 04:00,4336.9,4349.56,4317.26,4326.59,4314.931355577233,4327.236478308667,4297.683374640719,34.01142857142864
2026.06.17 08:00,4326.69,4333.85,4316.76,4324.62,4369.14,4326.713182646934,4300.132158764291,28.798571428571464
2026.06.17 12:00,4324.54,4335.46,4319.59,4333.46,4368.0924,4328.062546117548,4303.1619625129915,26.367142857142895
2026.06.17 16:00,4333.43,4366.28,4323.92,4359.28,4367.065752,4334.306036894039,4308.263602284537,26.209999999999987
2026.06.17 20:00,4359.31,4382.08,4218.82,4257.56,4316.76,4318.956829515231,4303.654183895034,36.09714285714285
2026.06.18 00:00,4256.6,4315.17,4254.19,4308.25,4382.08,4316.815463612185,4304.071985359122,37.97285714285715
2026.06.18 04:00,4308.27,4329.62,4306.74,4315.73,4382.08,4316.598370889748,4305.131804871929,37.261428571428574
2026.06.18 08:00,4315.57,4324.4,4265.43,4266.57,4379.5222,4306.592696711799,4301.626186247207,40.42071428571419
2026.06.18 12:00,4266.76,4273.1,4239.68,4246.46,4377.015556,4294.56615736944,4296.611078406552,40.98428571428564
2026.06.18 16:00,4246.43,4276.5,4213.8,4219.24,4371.5221337600005,4279.500925895552,4289.577344005957,43.001428571428484
2026.06.18 20:00,4219.32,4232.99,4201.28,4208.84,4362.0588057344,4265.3687407164425,4282.23758545996,43.842857142857035
2026.06.19 00:00,4210.95,4213.05,4184.01,4190.16,4349.196501275648,4250.326992573154,4273.866895872691,42.94642857142845
2026.06.19 04:00,4190.23,4194.37,4124.98,4125.62,4332.677851148083,4225.385594058524,4260.38990533881,46.64285714285708
2026.06.19 08:00,4125.51,4178.41,4121.48,4168.92,4307.754109010313,4214.092475246819,4252.074459398918,49.778571428571404
2026.06.19 12:00,4168.91,4179.7,4141.71,4178.87,4281.675733748869,4207.047980197455,4245.419508544472,50.184999999999945
2026.06.19 16:00,4178.9,4182.72,4142.44,4151.32,4259.248331024027,4195.902384157965,4236.865007767701,51.84142857142855
2026.06.22 00:00,4140.48,4200.84,4136.34,4200.65,4239.960764680663,4196.8519073263715,4233.572734334274,55.31499999999999
2026.06.22 04:00,4200.83,4220.95,4170.47,4181.59,4223.37345762537,4193.799525861097,4228.847031212977,55.89499999999998
2026.06.22 08:00,4181.6,4207.14,4179.21,4197.24,4220.95,4194.487620688878,4225.97366473907,46.22857142857141
2026.06.22 12:00,4197.12,4215.01,4192.08,4193.2,4220.95,4194.230096551103,4222.994240671882,43.51071428571426
2026.06.22 16:00,4193.27,4210.57,4169.58,4189.69,4215.01,4193.322077240882,4219.966582428983,44.80428571428566
2026.06.22 20:00,4189.75,4193.49,4176.94,4191.16,4215.01,4192.889661792706,4217.347802208166,41.774285714285725
2026.06.23 00:00,4192.23,4195.13,4178.2,4193.17,4210.57,4192.945729434165,4215.149820189242,40.596428571428596
2026.06.23 04:00,4193.13,4198.22,4114.66,4117.94,4121.48,4177.944583547332,4206.312563808401,42.08642857142864
2026.06.23 08:00,4118.22,4137.22,4090.74,4105.14,4198.22,4163.383666837865,4197.115058007637,43.14142857142867
2026.06.23 12:00,4105.16,4133.12,4103.7,4113.1,4198.22,4153.326933470293,4189.477325461488,43.16857142857153
2026.06.23 16:00,4113.09,4144.85,4105.19,4134.09,4196.0704000000005,4149.479546776234,4184.442114055899,41.04500000000014
2026.06.23 20:00,4134.01,4139.56,4107.25,4109.9,4193.9637920000005,4141.563637420987,4177.665558232636,39.286428571428715
2026.06.24 00:00,4112.31,4114.88,4080.62,4097.06,4191.89931616,4132.66290993679,4170.337780211487,39.020000000000174
2026.06.24 04:00,4097.09,4102.03,4050.23,4064.35,4187.4481435136,4119.000327949432,4160.702527464989,39.84285714285725
2026.06.24 08:00,4064.3,4097.35,4060.59,4076.05,4179.215054902785,4110.410262359546,4153.006843149989,37.86142857142869
2026.06.24 12:00,4076.03,4078.91,3987.43,3987.59,4171.475951608618,4085.846209887637,4137.968948318172,40.79000000000015
2026.06.24 16:00,3987.88,4041.98,3964.34,4006.5,4156.752275479928,4069.97696791011,4126.017225743793,44.340714285714405
2026.06.24 20:00,4006.51,4011.1,3959.02,3998.99,4137.5110479319355,4055.779574328088,4114.46929613072,46.42285714285724
2026.06.25 00:00,4004.54,4018.49,3978.33,3991.24,4116.092122180104,4042.8716594624707,4103.266632846109,46.36357142857153
2026.06.25 04:00,3991.23,4005.71,3963.01,3995.89,4097.243467518491,4033.475327569977,4093.50512076919,48.23142857142865
2026.06.25 08:00,3995.88,4001.86,3971.2,3989.03,4080.6566514162723,4024.5862620559815,4084.0073825174454,49.212142857142936
2026.06.25 12:00,3989.02,4018.87,3973.53,4012.16,4066.0602532463195,4022.1010096447853,4077.4758022885862,46.48214285714288
2026.06.25 16:00,4012.38,4043.88,3999.0,4028.55,4053.215422856761,4023.3908077158285,4073.028002080533,46.36785714285714
2026.06.25 20:00,4028.56,4044.06,4021.67,4026.47,3959.02,4024.006646172663,4068.7954564368483,45.86571428571427
2026.06.26 00:00,4030.64,4036.44,4011.16,4020.06,3960.7208,4023.217316938131,4064.364960397135,44.83857142857137
2026.06.26 04:00,4020.08,4029.26,3982.83,4011.19,3962.387584,4020.8118535505046,4059.5308730883044,45.84714285714279
2026.06.26 08:00,4011.49,4039.54,4005.44,4030.77,3964.02103232,4022.803482840404,4056.9162482620945,45.8357142857142
2026.06.26 12:00,4030.78,4061.32,4029.43,4058.84,3965.6218116736,4030.0107862723235,4057.0911347837223,44.41357142857138
2026.06.26 16:00,4058.9,4095.81,4043.17,4084.88,3969.449739206656,4040.984629017859,4059.6173952579293,45.54785714285707
2026.06.26 20:00,4084.99,4089.66,4064.29,4088.36,3977.0313548542567,4050.4597032142874,4062.23035932539,40.825714285714206
2026.06.29 00:00,4084.0,4085.31,4048.07,4069.41,3984.1580735630014,4054.24976257143,4062.8830539321725,38.15785714285707
2026.06.29 04:00,4069.48,4075.4,4049.48,4052.09,3990.857189149221,4053.8178100571445,4061.9018672110656,36.28928571428565
2026.06.29 08:00,4051.96,4068.41,4039.18,4046.8,3997.154357800268,4052.414248045716,4060.5289701918778,35.50857142857137
2026.06.29 12:00,4046.75,4055.08,4024.34,4043.41,4003.073696332252,4050.6133984365724,4058.9727001744345,34.654285714285656
2026.06.29 16:00,4043.56,4051.57,3999.93,4023.69,4095.81,4045.228718749258,4055.7651819767584,36.15285714285709
2026.06.29 20:00,4023.71,4031.95,4005.09,4016.39,4093.8923999999997,4039.4609749994065,4052.1856199788713,34.83285714285709
2026.06.30 00:00,4018.21,4022.27,3979.35,3986.88,4092.0131519999995,4028.9447799995255,4046.2487454353372,34.692857142857086
2026.06.30 04:00,3986.93,3997.87,3942.15,3985.33,4087.5066259199994,4020.2218239996205,4040.710677668488,37.07357142857137
2026.06.30 08:00,3985.32,4037.48,3974.99,4015.4,4078.7852283647994,4019.2574591996963,4038.4097069713525,39.731428571428516
2026.06.30 12:00,4015.19,4037.18,4008.52,4009.73,4070.5871146629115,4017.351967359757,4035.802460883048,38.46214285714277
2026.06.30 16:00,4009.72,4063.16,4009.19,4025.97,3942.15,4019.0755738878056,4034.9086008027703,39.88142857142848
2026.06.30 20:00,4025.91,4033.61,4006.28,4007.3,3944.5702,4016.7204591102445,4032.3987280025185,39.55571428571417
2026.07.01 00:00,4011.16,4018.23,3992.94,3996.52,3946.941996,4012.680367288196,4029.137025456835,37.602142857142745
2026.07.01 04:00,3996.55,3999.6,3969.95,3976.4,3949.26635608,4005.4242938305574,4024.3427504153046,37.90785714285705
2026.07.01 08:00,3976.38,3984.22,3960.02,3974.25,3951.5442289584003,3999.189435064446,4019.788864013913,36.75857142857132
2026.07.01 12:00,3974.25,4035.28,3972.59,4022.63,3953.7765443792323,4003.877548051557,4020.0471491035573,39.38499999999989
2026.07.01 16:00,4022.58,4115.43,4012.59,4071.1,3955.9642134916476,4017.3220384412457,4024.6883173668703,44.642857142857046
2026.07.01 20:00,4071.01,4073.51,4028.37,4030.9,3962.3428449519815,4020.0376307529964,4025.2530157880637,45.671428571428514
2026.07.02 00:00,4036.42,4052.37,4030.56,4051.76,3968.4663311539025,4026.3821046023972,4027.6627416255124,43.5407142857142
2026.07.02 04:00,4051.75,4073.91,4041.11,4060.57,3974.344877907746,4033.219683681918,4030.6543105686474,43.96499999999992
2026.07.02 08:00,4060.56,4079.85,4053.04,4075.9,3979.988282791436,4041.7557469455346,4034.7675550624067,42.814285714285624
2026.07.02 12:00,4075.91,4140.34,4057.3,4117.4,3985.4059514797787,4056.8845975564277,4042.279595511279,44.76571428571421
2026.07.02 16:00,4117.59,4143.84,4100.15,4117.95,3994.701994390992,4069.0976780451424,4049.158723192071,43.42285714285709
2026.07.02 20:00,4117.84,4126.86,4105.53,4123.65,4006.6330348397123,4080.008142436114,4055.930657447337,42.89928571428567
2026.07.03 00:00,4125.41,4150.86,4120.87,4147.0,4017.6095920525354,4093.4065139488916,4064.209688588488,41.18642857142852
2026.07.03 04:00,4146.99,4195.25,4146.42,4178.64,4030.934632847282,4110.453211159113,4074.6124441713528,42.722142857142806
2026.07.03 08:00,4178.63,4186.38,4160.26,4180.9,4050.652476905608,4124.542568927291,4084.274949246684,42.78142857142851
