server,login,trade_mode,symbol,probe_month_start,probe_to_plus7d,ticks_found,first_tick_in_probe,last_tick_in_probe,err
XMGlobal-MT5 10,345277936,DEMO,XAUEUR,2026.02.24,2026.03.03,1197295,2026.02.24 01:00:08,2026.03.02 23:58:52,0
XMGlobal-MT5 10,345277936,DEMO,XAUEUR,2026.03.26,2026.04.02,1480715,2026.03.26 00:44:29,2026.04.01 23:58:59,0
XMGlobal-MT5 10,345277936,DEMO,XAUEUR,2026.04.25,2026.05.02,1324844,2026.04.27 01:00:14,2026.05.01 23:57:59,0
XMGlobal-MT5 10,345277936,DEMO,XAUEUR,2026.05.25,2026.06.01,1323238,2026.05.25 01:00:54,2026.05.29 23:57:59,0
XMGlobal-MT5 10,345277936,DEMO,XAUEUR,2026.06.24,2026.07.01,1428923,2026.06.24 01:00:06,2026.06.30 23:58:59,0
XMGlobal-MT5 10,345277936,DEMO,XAUEUR,2026.07.24,2026.07.31,1485789,2026.07.24 01:00:10,2026.07.30 23:58:59,0
XMGlobal-MT5 10,345277936,DEMO,XAUEUR,2026.08.23,2026.08.30,1646132,2026.08.24 01:00:10,2026.08.28 23:57:59,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2023.09.08,2023.09.15,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2023.10.08,2023.10.15,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2023.11.07,2023.11.14,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2023.12.07,2023.12.14,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2024.01.06,2024.01.13,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2024.02.05,2024.02.12,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2024.03.06,2024.03.13,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2024.04.05,2024.04.12,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2024.05.05,2024.05.12,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2024.06.04,2024.06.11,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2024.07.04,2024.07.11,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2024.08.03,2024.08.10,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2024.09.02,2024.09.09,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2024.10.02,2024.10.09,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2024.11.01,2024.11.08,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2024.12.01,2024.12.08,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2024.12.31,2025.01.07,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2025.01.30,2025.02.06,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2025.03.01,2025.03.08,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2025.03.31,2025.04.07,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2025.04.30,2025.05.07,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2025.05.30,2025.06.06,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2025.06.29,2025.07.06,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2025.07.29,2025.08.05,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2025.08.28,2025.09.04,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2025.09.27,2025.10.04,1669576,2025.09.29 01:00:00,2025.10.03 23:57:59,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2025.10.27,2025.11.03,2040842,2025.10.27 00:44:29,2025.10.31 22:57:58,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2025.11.26,2025.12.03,1502642,2025.11.26 01:00:00,2025.12.02 23:58:57,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2025.12.26,2026.01.02,1038889,2025.12.26 08:00:00,2025.12.31 19:59:59,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2026.01.25,2026.02.01,2859909,2026.01.26 01:00:01,2026.01.30 23:55:08,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2026.02.24,2026.03.03,1636469,2026.02.24 01:03:00,2026.03.02 23:58:58,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2026.03.26,2026.04.02,2153843,2026.03.26 00:44:29,2026.04.01 23:58:59,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2026.04.25,2026.05.02,1221831,2026.04.27 01:00:02,2026.05.01 23:57:59,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2026.05.25,2026.06.01,573152,2026.05.25 01:01:16,2026.05.29 23:57:59,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2026.06.24,2026.07.01,2582108,2026.06.24 01:00:05,2026.06.30 23:58:59,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2026.07.24,2026.07.31,2402851,2026.07.24 01:00:02,2026.07.30 23:58:59,0
XMGlobal-MT5 10,345277936,DEMO,XAUCNH,2026.08.23,2026.08.30,1930371,2026.08.24 01:00:03,2026.08.28 23:57:59,0
XMGlobal-MT5 10,345277936,DEMO,XAUJPY,2023.09.08,2023.09.15,0,-,-,0
